TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
ar.edu.unrc.game2048.Cell,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9252840909090909,240,220
ar.edu.unrc.game2048.Board,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9270490348706474,1504,1374
